title,publication-date,event-date,country,location_x,lat_long,diseases,syndromes,url,id,cases_y,dead_y,disease_y,syndrome_y,location_y,keywords_y,Translated_Content
Health chiefs warn Brits to stay off school or work if feeling ill as winter bugs surge,3/01/2023,,United Kingdom,,"51.5, -0.126",covid19,,https://www.mirror.co.uk/news/uk-news/health-chiefs-warn-brits-stay-28856890,1,,,,,,"winter bugs, surge","Brits have been told to stay off work or school if unwell amid surging winter bugs - with hospital flu cases nearly doubling in a week. The UK Health Security Agency has issued the advice as schools and workplaces reopen after the festive break.  It comes amid high and increasing rates of flu, Covid-19, norovirus, scarlet fever and versions of the common cold. Prof Susan Hopkins, UKHSA chief medical adviser, said: ""It's important to minimise the spread of infection in schools and other education and childcare settings as much as possible.  ""If your child is unwell and has a fever, they should stay home from school or nursery until they feel better and the fever has resolved. ""Adults should also try to stay home when unwell and if you do have to go out, wear a face covering. When unwell don't visit healthcare settings unless urgent, or visit vulnerable people."" Low levels of natural immunity following three years of restricted social mixing are thought to be contributing to a high flu season. Patients in hospital with flu have increased 79% in a week.  An average of 3,746 people with flu were in hospital across the seven days to 25 December, up from 2,088 the previous week, according to NHS England.  Covid rates are rising with a 22% increase in hospital admissions recorded in England between 7 and 14 December.  A host of infections are also circulating such as rhinovirus, metapneumovirus, parainfluenza and seasonal coronaviruses that can cause fever, sore throat, ear infections, headaches and coughing.  The UKHSA is calling on parents to teach young children how to wash their hands properly. Prof Hopkins said: ""Helping children to learn about the importance of good hand hygiene is also key, so practise regular hand washing at home with soap and warm water. ""Catching coughs and sneezes in tissues then binning them is another simple way to help stop illness from spreading."" Strep A infections are circulating which can lead to scarlet fever and in very rare cases, serious complications.  At least 30 children have died in the UK from invasive strep A since September - which has triggered a run on hospitals and GP surgeries from concerned parents.  The main strain of influenza circulating in the UK is H3N2, which has been linked to more severe disease, particularly in vulnerable groups such as elderly people and young children. The current flu vaccine broadly covers this strain. Those eligible include children aged 2 and 3 on 31 August 2022, all primary school-aged children and some secondary school-aged children. Prof Hopkins added: ""Remember that flu vaccination is still available for all eligible groups and is the best protection against the virus. We have seen good uptake in older age groups but vaccination among young children remains low. ""Flu can be very unpleasant and in some cases can lead to more serious illness. Getting your child vaccinated protects them and others they come into contact with and it's still not too late."" Get email updates with the day's biggest stories"
"Coronavirus in India: 42909 new cases in 24 hours, 380 killed, 29836 people infected in Kerala alone",31/08/2021,29/08/2021,India,Sikkim,"27.57, 88.477",covid19,,https://gujarati.news18.com/news/national-international/covid19-in-india-coronavirus-mofhw-data-30-august-2021-vaccination-in-india-mb-1128832.html,2,42909.0,380.0,Coronavirus,,India,new,"A total of 52,01,46,525 corona samples have been tested in the country.(Ap Photo/Channi Anand) Covid-19 Live Updates India, 30 August 2021: On the first day of the week, on Monday, new cases of Corona virus have increased the tension of the countrymen.The most worrying situation is in Kerala and then in Maharashtra.In India, more than 42 thousand people have been infected in the last 24 hours, with 29,836 cases in Kerala and 46666 cases in Maharashtra.In Kerala, the transition has dropped slightly for a few days and the death toll has also decreased.In Kerala, 75 patients have lost their lives in one day and 131 patients in Maharashtra.On the other hand, before the festive celebration in Gujarat, the situation of the corona is somewhat overcome.New cases in the country are scared Monday morning, according to data released by the Ministry of Health, 42,909 new cases in the country have been reported in the last 24 hours.In addition, 380 patients have lost their lives due to Kovid-19 (Covid-19).The total number of transit in the country has now increased to 3,27,37,939.On the other hand, a total of 63,43,81,358 people in the country have been given a dose of Corona Vaccine (Covid19 Vaccine Campaign).In the last 24 hours, 31,14,696 corona vaccines have been given doses.Covid Recovery Rate in India has decreased Kovid-19 pandemic, with 3 million 19 lakh 23 thousand 405 people in India.34,763 patients have been discharged in 24 hours.Recovery rate in India is currently 97.50 %.There are currently 3,76,324 active cases.So far, a total of 4,38,210 people have died due to corona virus.According to the data released by the Indian Council of Medical Research (ICMR), a total of 52,01,46,525 corona samples have been tested by August 29, 2021.14,19,990 samples have been tested in the 24 hours of Sunday.Also Read, Covid-19: The risk of blood clotting on Corona patients than those who vaccine, the findings of new study in Gujarat are steadily declining in Kovid recovery rate 98.76 % of Gujarat.In the last 24 hours, there have been 10 new cases of Corona virus.Against which 14 patients have been healed.Not a single patient died due to Kovid-19 in the state in the last 24 hours.The total death toll in the state is 10081.The rate of healing in the state is 98.76 %.So far 4,54,69,490 doses have been given to corona vaccines.A total of 4,32,039 persons have been vaccinated in the last 24 hours.Also Read, Explained: Why is the Corona Delta variant more infectious and deadly?Research revealed 10 cases of new corona virus case in Gujarat, 1 in Surat, 1 in Vadodara, 3 in Vadodara, 1-1 in the ocean.Not a single patient died due to a corona within 24 hours in the state.On the other hand, 4 patients in Ahmedabad, 2 in Vadodara, 5 in Vadodara, Amreli, Bhavnagar, Dahod have given the Corona virus.There are currently 151 active cases in the state, of which 4 patients are on ventilators.There are 147 patients stable in the state.So far 815154 patients have been discharged in the state.Follow us on download News18 App"
"One death each due to dengue, malaria in Delhi this year: Civic body report",22/12/2020,22/12/2020,India,"Delhi, New Delhi, New Delhi","28.632, 77.219","dengue, malaria",,https://www.indiatvnews.com/news/india/delhi-dengue-malaria-chikungunya-cases-delhi-vector-borne-diseases-data-673060,3,,1.0,"dengue, malaria",,Delhi,,"Translation Error: the JSON object must be str, bytes or bytearray, not NoneType"
Russia recorded a sharp increase in COVID-19 infections - DW,7/02/2022,,Russian Federation,,"55.757, 37.615",covid19,,https://www.dw.com/ru/fiksirovano-nebyvaloe-chislo-zarazhenij-covid-19/a-60672855,4,,,COVID-19,,Russia,increase,"In the Russian Federation, the number of diseases by coronavirus continues to grow, which, as epidemiologists warned, is associated with the spread of the Omicron version.In Russia, the daily increase in new cases of coronavirus was 177,282 infection.This is 9,000 more than the day earlier.18,032 people were hospitalized per day - 1.3 percent higher than the previous day.The number of coronavirus cured after infection in Russia increased by 60 507 against 58,449 a day earlier.In total, 109,688 cases of recovery have been registered in the country from the beginning of the pandemic in the country.These are the data of the Federal Operational Staff, published on Saturday, February 5.Most of the infection was detected in Moscow-23,784, which is noticeably lower than the maximum of 26,586, recorded on January 27. A new maximum of infection of 19,234 was registered in St. Petersburg. A day earlier, 13,619 infected were identified there.Meanwhile, the number of the Moscow region, the number of patients decreased to 10 188 versus 11,475 a day earlier.60 507 people recovered per day, or 3.5 percent more compared to February 4.In total, 12,630,047 cases of incidence of Covid-19, 334 753 of the dead and 10,509,688 recovered were recorded in Russia since the beginning of the pandemic.A sharp increase in the incidence of coronavirus in the Russian Federation began on January 13, when 21,155 sick were revealed in a day.On January 12, 17,946 sick were reported.After that, daily the number of new cases of infection per day continued to increase.A strong increase was recorded on January 21, when the number of cases increased by more than 10,000 per day compared to the data of the opera station, published on January 20.As epidemiologists warned, the situation with incidence develops dynamically and towards growth, which is associated with the spread of the Omicron version.According to the operational headquarters, the spread of Omcron is recorded in 84 regions of the country.The day before it was reported that the new version of coronavirus was discovered in 83 regions of the Russian Federation.The number of those who died from coronavirus per day from January 16 remains approximately at the same level.It amounted to 714 people.According to Rospotrebnadzor on Saturday, more than 261 million tests on Covid -19 were held in Russia, of which 1.2 million - over the past day.Under medical supervision in the country, 4,519,493 people remain.See also: to view This Video Please Enable JavaScript, and Consider Upgrading to A Web Browser that Supports HTML5 Video"
"Covid-19 pneumonia situation in Chongqing on July 12, 2022;",12/07/2022,,China,Chongqing,"30.058, 107.874",covid19,,http://wsjkw.cq.gov.cn/ztzl_242/qlzhxxgzbdfyyqfkgz/yqtb/202207/t20220712_10908673.html,5,,,Covid-19,pneumonia,Chongqing,,Error 404: Page not found
"Sydney COVID-19 cases set to rise, hospitals under pressure | Reuters",17/08/2021,17/08/2021,Australia,"New South Wales, Sydney, Sydney","-33.873, 151.205",covid19,,https://www.reuters.com/world/asia-pacific/australias-victoria-reports-slight-rise-local-covid-19-cases-2021-08-16/,6,,,COVID-19,,Sydney,rise,Error 401: Unauthorized
"Dengue: With the onset of summer, pathankot started increasing...",10/06/2022,,India,"Punjab, Pathankot, Pathankot","32.26, 75.632",dengue,,https://punjab.news18.com/news/punjab/pathankot/pathankot-dengue-cases-in-pathankot-on-the-rise-with-the-onset-of-summer-js-rup-as-local18-347589.html,7,,,Dengue,,,increase,Error 404: Page not found
National Health Commission: 9 new crown pneumonia confirmed cases 14 cases are imported cases from abroad;,11/04/2021,11/04/2021,China,,"39.931, 116.386",covid19,severe acute respiratory syndrome,https://finance.sina.com.cn/tech/2021-04-10/doc-ikmyaawa8845224.shtml,8,9.0,,crown pneumonia,,,new,"Original title: National Health and Health Commission: 14 cases of new crown pneumonia on the 9th are all overseas input case Xinhua News Agency, Beijing April 10th.The province (autonomous region, municipality) and Xinjiang Production Construction Corps reported 14 newly confirmed cases, all of which were overseas input cases (4 cases in Shanghai, 2 cases in Fujian, 1 case in Beijing, 1 case of Shanxi, 1 case in Zhejiang, 1 case in Zhejiang, Shandong1 case, 1 case in Hubei, 1 case of Yunnan, 1 case of Shaanxi); no new death cases; no suspected suspected cases.10 cases of newly cured hospitals on the day, 309 close contacts of medical observations were lifted, and severe cases were the same as the previous day.199 cases of existing confirmed cases were entered overseas (2 cases of severe cases), and 2 cases of suspected cases.A total of 5,411 confirmed cases, 5,212 cases of cure for hospitalization, and no death cases.As of 24:00 on April 9, according to the reports of 31 provinces (autonomous regions, municipalities) and Xinjiang Production and Construction Corps, there were 283 cure cases (including 3 cases of severe cases), 8,5481 cases were cured, and 4,636 cases accumulated deaths were cumulative.There were 90400 confirmed cases, and 2 cases of suspected cases were reported.A total of 995588 people were tracked to the close contact, and 7,384 close contacts who were observed in medical observation.31 provinces (autonomous regions, municipalities) and Xinjiang Production and Construction Corps reported 11 asymptomatic infections (all of them were inputs overseas); 3 cases were converted to confirmed cases on the same day; 16 cases of medical observation were lifted on the same day (16 cases of medical observation (Both are overseas input); 285 cases of disagreals are still observed in medical observation (260 cases of input overseas).A total of 1,2666 cases were notified in Hong Kong, Macao and Taiwan.Among them, there were 11,563 cases of 11,563 Special Administrative Regions (11,186 cases of discharge, 207 deaths), and 49 cases of 49 cases of Macau Special Administrative Region (48 cases were discharged), and 1054 cases in Taiwan (1018 were discharged from hospital and 10 deaths).""Palm"" Holding Technology Fresh (WeChat Search Techsina or Scan the left QR code attention) Sina Technology Sina Technology brings you the freshest technology information Apple Hui Apple Hui brings you the freshest Apple product news Sina public testNew cool product will try Sina for free to explore the latest scientist news, wonderful shocking pictures Sina Technology Opinion Feedback Message Board: 400-052-0066 Welcome to criticize Correct Sina| Questions of Pass Registration Products | Website Lawyers | Sina English Copyright © 1996-2021 Sina Corporation All Rights Reserve"
For reprint print: Syndication Service,2/05/2021,,India,Karnataka,"14.71, 76.168",covid19,,https://www.thejasnews.com/news/india/covid-status-karnataka-169458,9,,,,,,,"Bengaluru: Cowid disgustingness is on top of 40,000 daily estimates in Karnataka.The people have confirmed the disease in the state today.Today, 271 have died due to disease.With this, the total number of patients in the state rose to 15,64,132.The number of treatment is currently affected by 4,05,068.The only relief of the patient's number was decreased in the list of cowdners of the last day.The number of patients today in Andhra Pradesh and Tamil Nadu.In Rajasthan, in the 17th century, the disease was confirmed today.© Copyrights 2020. All Rights Reserved.Powered by Hocalwire"
in the Chelyabinsk region announced a quarantine for bird flu - 74.RU,25/09/2021,,Russian Federation,"Ural Federal District, Chelyabinsk Oblast, Chelyabinsk","55.16, 61.394",influenza b,,https://74.ru/text/animals/2021/09/24/70155899/comments/,10,,,bird flu,,Chelyabinsk region,quarantine,"Now 2 ° C is cloudy, without precipitation it is felt like -7 0 m/s, repair of washing and dishwashers at home.Professional!0 ₽ I will buy a power cable, control, telephone, from storage, non -exchanging, expensive 1,000 000 ₽ Evaluation and purchase of old items 1,000 000 ₽ Information about age -related restrictions on information products, subject to distribution on the basis of the norms of the Federal Law “On Protection of Children frominformation causing harm to their health and development. ”Some materials of this section may contain information prohibited for children."
